procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 555448  30332   3516 164100    4    0     4    20 1224  745  1 32 68  0  0
 0  0 555448  30060   3524 164104    0    0     0    28  849  531  0 14 85  1  0
 0  0 555448  30796   3524 164104    4    0     4     4 1171  709  0 28 72  0  0
 0  0 555448  29992   3524 164108    0    0     0     0 1337  640  0 27 73  0  0
 0  0 555712  15896   3512 163052    0  128     0   248  902  633  0 30 70  0  0
 2  0 555712  28008   3512 162664    0   72     0    72 1520  792  0 39 61  0  0
 0  0 555712  30852   3520 162672    4    0     4    28 1019  620  0 13 86  1  0
 0  0 555712  32100   3520 162676    0    0     0     0 1264  682  1 26 73  0  0
 1  0 555712  29360   3520 162676    0    0     0     0 1131  659  0 22 78  0  0
 0  0 555712  31284   3520 162680    4    0     4     0 1132  709  0 23 76  1  0
 0  0 555712  26124   3520 162688    0    0     0    32 1315  719  0 27 73  0  0
 1  0 555712  28000   3528 162692    0    0     0    36 1037  526  1 13 86  0  0
 0  0 555712  31088   3528 162696    0    0     0     0 1223  575  1 17 83  0  0
 1  0 555712  32144   3528 162700    0    0     0     0 1281  661  0 16 84  0  0
 1  0 555712  27152   3528 162704    0    0     0     0 1657  804  0 33 67  0  0
 0  0 555712  31316   3528 162704   32    0    32    20 1426  651  0 15 84  1  0
 0  0 555712  26352   3536 162708    0    0     0    32 1299  667  1 17 82  0  0
 0  0 555456  30376   3536 163752   64    0  1172     0 1172  646  0 13 86  1  0
 1  0 555456  29860   3536 163824    0    0     0     0 1153  543  0 17 83  0  0
 1  0 555456  30852   3536 164008   60    0   244     0 1212  652  1 15 85  0  0
 0  0 555456  31196   3536 164012    4    0     4    20 1261  735  1 19 80  1  0
 0  0 555456  30996   3548 164016    0    0     0    96 1189  671  0 19 81  0  0
 0  0 555456  30980   3548 164020    0    0     0     4 1783  865  0 32 68  0  0
 0  0 555456  28928   3548 164020    0    0     0     0 1106  558  0 13 87  0  0
 0  0 555456  31068   3548 164024    4    0     4     0 1334  706  0 24 76  1  0
 0  0 555456  31480   3548 164024    0    0     0    24 1328  606  1 21 79  0  0
 0  0 555456  31948   3556 164032    0    0     0    28 1364  736  0 29 71  0  0
 0  0 555456  32528   3556 164036    0    0     0     0 1514  799  1 31 68  0  0
 0  0 555200  24932   3556 164144  460    0   564     4 1705 1058  0 27 72  2  0
 1  0 555200  28352   3556 164144    0    0     0     0 1265  639  0 20 80  0  0
 0  0 555200  30664   3556 164148    0    0     0    20 1157  575  0 19 81  0  0
 0  0 555200  31588   3564 164152    0    0     0    28 1290  625  0 17 83  0  0
 0  0 555200  31248   3564 164156    0    0     0     0 1419  656  0 20 80  0  0
 0  0 555200  30848   3564 164160    0    0     0     0 1281  666  0 21 79  0  0
 0  0 555200  31424   3564 164164    0    0     0     4 1472  714  0 24 76  0  0
 0  0 555200  31560   3564 164168    0    0     0    24 1142  556  0 13 87  0  0
 2  0 555200  29432   3572 164160    0    0     0    28 1220  564  0 12 87  1  0
 0  0 555200  31364   3572 164172    0    0     0    84 1372  746  1 25 74  0  0
 0  0 555200  30056   3572 164176    0    0     0     0 1391  757  0 25 75  0  0
 0  0 555200  28988   3572 164180    0    0     0     0 1631  899  0 25 75  0  0
 1  0 555200  29672   3572 164220    0    0  2180     4 1603 1043  1 20 79  0  0
 0  0 555200  30400   3580 164224    0    0     0    52  888  561  0 12 87  1  0
 0  0 555200  28836   3580 164224    8    0     8     0  929  499  0  7 93  0  0
 0  0 555200  29796   3580 164244    0    0     0     0  867  460  0  7 93  0  0
 1  0 555200  30548   3580 164248    0    0     0     0  775  508  0 12 88  0  0
 0  0 555200  29872   3580 164252    0    0     0     0  879  496  1 14 86  0  0
 0  0 555200  29872   3588 164256   12    0    12    52  929  557  1  9 90  1  0
 0  0 555200  29580   3588 164260    0    0     0     0  857  466  0  4 96  0  0
 0  0 555200  30360   3588 164264    0    0     0     0  977  482  0  8 92  0  0
 0  0 555200  30268   3588 164264    0    0     0     0  826  428  0  9 91  0  0
 1  0 555200  29920   3588 164268    0    0     0   156  856  459  0 12 88  0  0
 0  0 555200  29552   3596 164272    0    0     0    52  864  500  0 10 89  1  0
 0  0 555200  30244   3596 164276    0    0     0     4  898  504  1 12 88  0  0
 0  0 555200  30220   3596 164276    0    0     0     0  868  461  0 10 90  0  0
 1  0 555200  29736   3596 164284    0    0     0     0  865  515  0 11 89  0  0
 0  0 555200  29628   3596 164284    0    0     0     0  786  459  0 11 89  0  0
 0  0 555200  29020   3604 164292    0    0     0    64  805  485  0 11 89  1  0
 1  0 555200  29052   3604 164292    0    0     0     0  841  522  1  8 91  0  0
 0  0 555200  30656   3604 164296    0    0     0     4  745  498  0  9 91  0  0
 0  0 555200  29760   3604 164300    0    0     0     0  800  527  0 12 88  0  0
 1  0 555200  29600   3604 164304    0    0     0     0  798  514  0 13 87  0  0
 1  0 555200  28872   3612 164312    0    0     0    52  726  481  0 11 89  0  0
 2  0 555200  29396   3612 164312    0    0     0     0  702  452  0 11 89  0  0
 0  0 555200  30168   3612 164320    0    0     0     0  827  457  0 13 87  0  0
 1  0 555200  29048   3612 164320    0    0     0     8  769  469  0 12 88  0  0
 0  0 555200  30312   3612 164324    0    0     0     0  788  417  1 10 90  0  0
 1  0 555200  30300   3620 164320    0    0     0    80  828  478  0 11 88  1  0
 0  0 555200  29728   3620 164332    0    0     0     0  823  463  0 14 86  0  0
 4  0 555200  29832   3620 164336    0    0     0     0  770  451  0 12 88  0  0
 0  0 555200  28524   3620 164340    0    0     0     0  769  468  0  9 91  0  0
 0  0 555200  29560   3620 164340    0    0     0     4  884  435  1  8 91  0  0
 3  0 555200  29596   3628 164348    0    0     0    36  767  471  0  8 92  0  0
 0  0 555200  30148   3628 164348    0    0     0     0  833  478  1  9 90  0  0
 0  0 555200  30228   3628 164352    0    0     0     0  871  423  0  9 91  0  0
 0  0 555200  28684   3628 164356    0    0     0     0  690  439  0 10 90  0  0
 2  0 555200  28812   3628 164360    8    0     8     0  740  468  0 11 88  1  0
 0  0 555200  28448   3636 164364    0    0     0    56  805  478  1 12 87  1  0
 1  0 555200  29324   3636 164368   32    0    32     0  876  533  0 14 86  0  0
 0  0 555200  29160   3636 164372    0    0     0     0  792  447  0 13 87  0  0
 0  0 555200  29356   3636 164372    0    0     0     0  782  434  0 14 86  0  0
 0  0 555200  28144   3636 164376    0    0     0     0  742  427  0 10 90  0  0
 0  0 555200  27744   3644 164372    0    0     0    48  665  445  0  9 90  1  0
 0  0 555200  28420   3644 164380    0    0     0     4  728  456  0  8 92  0  0
