procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 503276  11776   2564 145112    0    0     0     0  666  434  0  7 93  0  0
 2  0 503276  11020   2564 144436    0   52     0    60  807  519  0  9 91  0  0
 0  0 503276  13580   2564 144452    0    0     0     0  659  452  0  5 95  0  0
 0  0 503276  12964   2564 144452   36    0    36     4  480  434  0  3 96  1  0
 1  0 503276  13896   2572 144468    0    0     0    28  729  454  0  6 94  1  0
 1  0 503276  11852   2572 144468    0    0     0     0  886  591  0  8 92  0  0
 4  0 503276  13180   2572 144472    0    0     0    12  825  538  0  9 91  0  0
 2  0 502764   9420   2572 143916 1468   84  1728    84 1378 1420  0 10 85  6  0
 0  0 502764  12316   2572 143920    0    0     0     0  504  391  0  4 96  0  0
 1  0 502764  12604   2580 143916    0    0     0    44  470  394  0  4 96  0  0
 4  0 502764  11984   2580 143924    0    0     0     0  767  515  0 10 90  0  0
 1  0 502764  12408   2580 143924    0    0     0     8  715  538  0  5 95  0  0
 1  0 502764  12368   2580 143924    0    0     0     0  719  529  0  5 95  0  0
 1  0 502764  12352   2580 143928   20    0    20     0  632  549  1  3 95  1  0
 1  0 502764  13244   2588 143928    0    0     0    28  681  459  0  5 95  0  0
 4  0 502764  12944   2588 143928    0    0     0     4  679  420  0  7 93  0  0
 0  0 502764  12532   2588 143932    0    0     0    12  576  442  0  6 94  0  0
 0  0 502764  12532   2588 143932    0    0     0     0  571  415  0  2 98  0  0
 1  0 502764  12792   2588 143932    0    0     0     0  699  485  1  6 93  0  0
 0  0 502764  12204   2596 143924    0    0     0    28  585  455  0  4 96  1  0
 0  0 502764  11696   2596 143936    0    0     0     0  729  505  0  9 91  0  0
 1  0 502764  12340   2596 143936    0    0     0     4  635  454  0  6 94  0  0
 0  0 502764  13340   2596 143936    0    0     0     8  709  485  1  5 94  0  0
 0  0 502764  12912   2596 143940    0    0     0     0  725  535  0  7 93  0  0
 0  0 502764  13640   2604 143940    0    0     0    28  590  408  0  5 95  0  0
 0  0 502764  12744   2604 143940    0    0     0     0  653  385  0  6 94  0  0
 0  0 502764  12840   2604 143944    0    0     0     0  938  567  0 11 89  0  0
 1  0 502764   9808   2604 143944    0    0     0    16  755  497  0  9 91  0  0
 1  0 502764  13344   2604 143944    8    0     8     0  573  397  0  5 95  1  0
 1  0 502764  12364   2604 143580    0   52     0    52  757  557  0 13 88  0  0
 0  0 502764  11668   2612 143576    0    0     0    52  843  566  0  8 91  1  0
 0  0 502764  11688   2612 143576    0    0     0     0  634  471  0  6 94  0  0
 3  0 502764  12500   2612 143576    0    0     0     8  977  624  0  9 91  0  0
 3  0 502764  10312   2612 143576    0    0     0     4  623  482  1  7 93  0  0
 0  0 502764  12892   2612 143580    0    0     0     0  700  419  0  8 92  0  0
 0  0 502764  13520   2620 143580    0    0     0    28  926  602  0 15 85  0  0
